email_id	email	password	email_type	date_received	subject_line	content		
X87426	bruce.johnson@copmail.com	America1776	received	2024-1-30	Your Online Receipt	Notice of receipt: BESTBUY....		
X83739	bruce.johnson@copmail.com	America1776	sent	2024-1-29	Time-Off Request	Hello, The wife has asked me to...		
X88431	bruce.johnson@copmail.com	America1776	received	2024-1-28	MESSAGE TO YOU!	SECRETSMOOCH: YOU HAVE...		
X47411	bruce.johnson@copmail.com	America1776	sent	2024-1-27	Fwd: The Square	SURPRISE! If you don't forward this...		
X76169	bruce.johnson@copmail.com	America1776	received	2024-1-26	MESSAGE TO YOU!	SECRETSMOOCH: YOU HAVE...		
X19532	anyo.accountspayable@grofit.com	prophetofprofit1	received	9999-2-24	AN ULTIMATUM	WE AT VOX SOLARIS WILL NO LONGER...		
X89495	anyo.accountspayable@grofit.com	prophetofprofit1	sent	9999-3-28	Reaching An Accord	Most esteemed founder and father, I assure you that the Nefcoin...		
X24797	anyo.accountspayable@grofit.com	prophetofprofit1	sent	9999-3-28	Re: URGENT	CASH IN THOSE DEBT BONDS NOW. He's already...		
X17442	anyo.accountspayable@grofit.com	prophetofprofit1	sent	9999-3-28	Missive From the Prophet	We urge you to Give Unto the Void today...		
X60138	anyo.accountspayable@grofit.com	prophetofprofit1	received	9999-5-14	????	There is no salvation for your crime...		
X83224	george.bush@us.gov	Password111111111!!!!!	received	2003-3-4	PASSWORD RESET	Please click the link below to change...		
X44015	george.bush@us.gov	Password111111111!!!!!	received	2003-3-4	PASSWORD RESET	Password changed successfully. Please...		
X78743	george.bush@us.gov	Password111111111!!!!!	received	2003-3-6	PASSWORD RESET	Please click the link below to change...		
X11158	george.bush@us.gov	Password111111111!!!!!	received	2003-3-6	PASSWORD RESET	Password changed successfully. Please...		
X63877	george.bush@us.gov	Password111111111!!!!!	received	2003-3-6	PASSWORD RESET	Password changed successfully. Please...		
X30489	j.macdonald.household@eemail.com	SoTheresAManCrawlingThroughTheDesert	sent	2024-4-1	He'd decided to try his SUV	in a little bit of cross-country travel...		
