irs_id	full_name	phone	email		important
I56392-880	Roderick Carr	555-325-5870	rodrickcarr2@wahoo.com		
I73620-266	Kaleb Gould	555-804-5018	gouldk@eeemail.com		
I51571-797	Talon Flynn	555-449-7587	t.w.flynn.x@eeemail.com		
I40605-798	Aron Duncan	555-506-4575	aronduncan99@wahoo.com		
I34178-671	Kamari Mitchell	555-903-9919	kamari_mitchell@eeemail.com		
I50642-483	Rex Savage	555-108-9824	rex.savage.legacy@notmail.com		
I57781-594	Marques Harrell	555-597-2211	harrelm_12@eeemail.com		
I80397-693	Bruce Johnson	555-950-6633	bruce.johnson@copmail.com		*
I24270-766	Laura Johnson	555-584-7392	laura.crane.johnson@eeemail.com		*
I20210-713	Laura Crane	555-516-5792	lauracrane78@wahoo.com		*
I20350-102	Laura Johnson	555-456-6609	crazee_js_girl@eeemail.com		
I14377-569	Gina Rhodes	555-520-5074	ggrhodes@hogmail.com		
I52975-582	Raven Madden	555-721-3876	bigmadraven@ayeol.com		
I13389-406	Larissa Mcmillan	555-339-4299	larissa_2m@baver.net		
I85212-248	Christina Flores	555-509-5375	krissssssy@xomxast.net		
I29752-506	Hazel Hines	555-627-8375	handm.hines@xomxast.net		
I38440-622	Renisse Kelley	555-387-8858	notthatkelley@eeemail.com		
I84199-168	Corinne Fowler	555-979-5464	msfowlchic@nsn.com		
I37874-336	Simeon Ward	555-681-1260	simeonw@wardandco.com		
I32303-399	Levi Collins	555-446-4776	shortkingvamp@wahoo.com		
I45748-946	Cayden Hale	555-322-5005	cayden_Xhale@eeemail.com		
I81307-278	Whitney Burton	555-745-1168	whitwhitb@wahoo.com		
I88163-185	Blaine Cochran	555-371-8715	blaine_4DDD@electronmail.net		
I36455-400	Kendall Strong	555-562-2699	k.strong4@notmail.com		
I89092-813	Laura Travis	555-916-2962	l.s.travis@firebad.net		
I18655-623	Jamal Hubbard	555-452-4502	jjhubbris79@nsn.com		
I94859-174	Adriel James	555-345-2487	axxjamesxx@wahoo.com		
I10836-722	Maribel Mccann	555-857-7878	mmacrc@xomxast.net		
I24357-855	Ricardo Wilkinson	555-964-6809	randerson.wil@firebad.net		
I41246-666	Samson Callahan	555-139-3284	strongestwif4ver@nsn.com		
I12545-226	Deborah Mckee	555-754-7506	deborah.mckee@xomxast.net		
I88118-668	Abdullah Hayden	555-851-6995	ababhayden@ayeol.com		
